,2d_x,2d_y,periodic_#_2d,bond_1_2d,bond_2_2d,bond_3_2d,3d_x,3d_y,3d_z
9,-1.9801,-0.0562,6,1,1,0,1.6244,-0.2294,-0.5565
10,-3.0429,-0.8576,6,1,1,0,-0.0192,-2.8194,-0.7966
11,-2.8773,-2.1809,6,1,1,0,-1.7015,2.1138,2.1202
12,-1.6499,-2.6959,6,1,1,0,-1.0445,3.1065,0.0
13,-0.5941,-1.8953,6,1,1,0,-1.7032,3.2061,1.2362
0,-1.6209,2.9503,6,1,0,0,-1.5051,-2.0802,0.6741
1,-0.3579,2.5391,8,2,0,0,2.3603,-0.0244,-0.8993
2,-0.0819,1.2411,6,2,1,0,0.9641,-2.2895,-0.3725
3,1.1869,0.8281,6,1,1,0,-0.9815,3.6785,-0.2707
4,1.4609,-0.4756,6,2,1,0,-0.9004,-1.0611,0.2202
5,0.4719,-1.3681,6,1,1,0,1.1258,0.0167,-0.6076
6,-0.7969,-0.955,6,2,1,0,0.42,-1.1575,-0.2686
7,-1.071,0.3486,6,2,1,0,-0.8668,1.3811,-0.1122
8,-2.334,0.7598,8,1,0,0,-1.5398,0.1948,0.2646
9,-1.7841,-1.8418,8,2,0,0,0.4718,1.2648,-0.5577
10,-1.5081,-3.1398,6,1,0,0,-1.5064,2.6077,0.0
11,2.7239,-0.8868,6,1,1,0,-1.3943,-2.5309,1.9298
12,3.7111,0.0,8,0,1,0,3.3522,0.0,0.0
0,-2.7249,0.2069,6,1,1,0,-3.4269,-0.2529,0.0
1,-2.2475,1.4486,6,1,1,0,0.1412,-0.6557,0.0
2,-0.9348,1.6534,6,1,1,0,0.5466,0.7125,0.0
3,-0.0921,0.6198,6,2,1,0,-1.2345,-0.9731,0.0
4,1.21,0.8288,6,1,1,0,-0.4385,1.7254,0.0
5,2.0527,-0.2048,6,2,1,0,1.1212,-1.6731,0.0
6,1.5752,-1.4465,6,1,1,0,1.9252,1.0239,0.0
7,0.2551,-1.6546,6,1,1,0,-2.2065,0.0452,0.0
8,-0.5695,-0.6218,6,2,1,0,-1.8061,1.3942,0.0
9,-1.8896,-0.8299,6,1,1,0,2.4885,-1.3465,0.0
10,3.3654,0.0,8,1,0,0,2.8899,0.0,0.0
0,2.66,-0.0,8,1,0,0,2.5649,0.0,0.0
1,1.3306,-0.001,6,2,1,0,-2.5611,-0.1388,0.0
2,0.6644,-1.1515,7,1,1,0,0.6619,-1.0967,0.0
3,-0.665,-1.1525,7,1,1,0,-0.6016,-1.1309,0.0
4,-1.3306,0.001,6,2,1,0,1.3438,0.0295,-0.0
5,-2.66,0.0,8,1,0,0,-1.3434,-0.0433,0.0
6,-0.6644,1.1515,6,1,1,0,0.6428,1.2083,-0.0
7,0.665,1.1525,6,1,1,0,-0.7072,1.1718,-0.0
0,4.1553,-0.0,8,0,1,0,4.2644,0.0,0.0
1,3.0494,-0.7364,6,1,1,0,-0.4149,0.2813,0.0169
2,1.8595,-0.1481,6,1,1,0,-0.6925,-0.9688,0.6279
3,0.7486,-0.8878,6,1,1,0,-1.5012,0.9652,-0.5868
4,-0.4445,-0.2945,6,2,1,0,-1.9795,-1.5348,0.5998
5,-0.5284,1.0301,6,1,1,0,-2.7944,0.4076,-0.615
6,-1.7216,1.6234,6,1,1,0,0.8643,0.8413,0.0
7,-2.8275,0.887,6,1,1,0,-3.0315,-0.8473,-0.0274
8,-2.7403,-0.4427,6,1,1,0,2.0242,0.1561,-0.0154
9,-1.5505,-1.031,6,1,1,0,3.2612,0.6993,-0.0001
0,-1.5276,1.8492,8,1,0,0,-2.028,-2.0201,0.0
1,-1.6797,0.5267,6,2,1,0,-1.6135,-0.87,0.0
2,-2.9004,0.0,8,0,1,0,-2.4776,0.0,0.0
3,-0.6104,-0.2633,6,1,1,0,-0.2834,-0.6105,0.0
4,0.6104,0.2633,6,1,1,0,0.2834,0.6105,0.0
5,1.6797,-0.5267,6,2,1,0,1.6135,0.87,0.0
6,1.5276,-1.8493,8,0,1,0,2.028,2.0201,0.0
7,2.9004,0.0,8,1,0,0,2.4776,0.0,0.0
0,-5.7419,0.5607,6,1,0,0,4.861,-0.9857,0.414
1,-4.6367,1.293,8,2,0,0,-4.9644,2.9654,-0.633
2,-3.4435,0.7152,6,2,1,0,-1.402,-0.2893,-0.2956
3,-3.3539,-0.618,6,1,1,0,-2.8586,-0.0239,-0.1829
4,-2.1597,-1.2072,6,1,1,0,0.8258,-0.4098,0.7466
5,-1.0553,-0.4635,6,2,1,0,1.3786,-0.8519,-0.4887
6,-1.145,0.8697,6,2,1,0,-0.5548,-0.125,0.8229
7,-2.3382,1.4475,6,1,1,0,-3.2679,1.4424,-0.4808
8,-0.0398,1.602,6,1,1,0,-0.8354,-0.7235,-1.5141
9,1.1535,1.0242,6,1,1,0,0.5373,-1.0094,-1.6109
10,1.2431,-0.309,6,2,1,0,1.6651,-0.2582,1.8729
11,0.1387,-1.0527,6,1,1,0,2.765,-1.103,-0.5765
12,2.4371,-0.8982,6,2,0,0,3.6043,-0.8829,0.5342
13,3.5416,-0.1545,6,2,0,0,3.0453,-0.4973,1.7681
14,4.7356,-0.7437,6,2,1,0,-4.6765,1.8028,-0.3762
15,4.8244,-2.0654,8,0,1,0,-5.7882,0.9496,-0.0
16,5.84,-0.0,6,1,0,0,5.6652,0.0,0.0
0,-2.659,1.152,6,1,0,0,-3.8805,-1.4181,0.0
1,-1.9954,-0.002,6,2,1,0,2.2626,1.9672,-0.0
2,-2.6601,-1.154,8,0,1,0,0.7417,0.2691,-0.0
3,-0.6642,0.001,6,2,1,0,0.4353,-1.1174,0.0
4,-0.0006,-1.153,6,1,1,0,-0.3755,1.152,-0.0
5,1.3307,-1.1501,6,1,1,0,2.0599,0.7576,-0.0
6,1.9954,0.002,6,2,1,0,-0.8846,-1.5989,0.0
7,1.3289,1.151,6,1,1,0,-1.7035,0.6849,-0.0
8,0.0006,1.153,6,1,1,0,-1.9588,-0.6965,0.0
9,3.3237,-0.0,53,1,0,0,3.3033,0.0,0.0
0,1.3312,0.0,8,0,1,0,1.2509,0.0,0.0
1,-0.6652,1.1499,8,1,0,0,-0.5094,1.1326,0.0
2,0.0012,0.0011,6,2,1,0,-0.7688,-1.1676,0.0
3,-0.6671,-1.1511,6,1,0,0,0.0272,0.035,0.0
